date,home,away,home_score,away_score
2026-06-11,Mexique,Afrique du Sud,2,0
2026-06-12,Corée du Sud,Tchéquie,2,1
2026-06-12,Canada,Bosnie-Herzégovine,1,1
2026-06-13,États-Unis,Paraguay,4,1
2026-06-13,Qatar,Suisse,1,1
2026-06-13,Brésil,Maroc,1,1
2026-06-14,Haïti,Écosse,0,1
2026-06-14,Australie,Turquie,2,0
2026-06-14,Allemagne,Curaçao,7,1
2026-06-14,Pays-Bas,Japon,2,2
2026-06-15,Côte d'Ivoire,Équateur,1,0
2026-06-15,Suède,Tunisie,5,1
2026-06-15,Espagne,Îles du Cap-Vert,0,0
2026-06-15,Belgique,Égypte,1,1
2026-06-15,Arabie Saoudite,Uruguay,1,1
2026-06-16,L'Iran,Nouvelle-Zélande,2,2
2026-06-16,France,Sénégal,3,1
2026-06-17,Irak,Norvège,1,4
2026-06-17,Argentine,Algérie,3,0
2026-06-17,Autriche,Jordanie,3,1
2026-06-17,Portugal,République démocratique du Congo,1,1
2026-06-17,Angleterre,Croatie,4,2
2026-06-18,Ghana,Panama,1,0
2026-06-18,Ouzbékistan,Colombie,1,3
2026-06-18,Tchéquie,Afrique du Sud,1,1
2026-06-18,Suisse,Bosnie-Herzégovine,4,1
2026-06-19,Canada,Qatar,6,0
2026-06-19,Mexique,Corée du Sud,1,0
2026-06-19,États-Unis,Australie,2,0
2026-06-20,Écosse,Maroc,0,1
2026-06-20,Brésil,Haïti,3,0
2026-06-20,Turquie,Paraguay,0,1
2026-06-20,Pays-Bas,Suède,5,1
2026-06-20,Allemagne,Côte d'Ivoire,2,1
2026-06-21,Équateur,Curaçao,0,0
2026-06-21,Tunisie,Japon,0,4
2026-06-21,Espagne,Arabie Saoudite,4,0
2026-06-21,Belgique,L'Iran,0,0
2026-06-22,Uruguay,Îles du Cap-Vert,2,2
2026-06-22,Nouvelle-Zélande,Égypte,1,3
2026-06-22,Argentine,Autriche,2,0
2026-06-22,France,Irak,3,0
2026-06-23,Norvège,Sénégal,3,2
2026-06-23,Jordanie,Algérie,1,2
2026-06-23,Portugal,Ouzbékistan,5,0
2026-06-23,Angleterre,Ghana,0,0
2026-06-24,Panama,Croatie,0,1
2026-06-24,Colombie,République démocratique du Congo,1,0
2026-06-24,Bosnie-Herzégovine,Qatar,3,1
2026-06-24,Suisse,Canada,2,1
2026-06-25,Maroc,Haïti,4,2
2026-06-25,Écosse,Brésil,0,3
2026-06-25,Tchéquie,Mexique,0,3
2026-06-25,Afrique du Sud,Corée du Sud,1,0
2026-06-25,Curaçao,Côte d'Ivoire,0,2
2026-06-25,Équateur,Allemagne,2,1
2026-06-26,Tunisie,Pays-Bas,1,3
2026-06-26,Japon,Suède,1,1
2026-06-26,Turquie,États-Unis,3,2
2026-06-26,Paraguay,Australie,0,0
2026-06-26,Norvège,France,1,4
2026-06-26,Sénégal,Irak,5,0
2026-06-27,Îles du Cap-Vert,Arabie Saoudite,0,0
2026-06-27,Uruguay,Espagne,0,1
2026-06-27,Égypte,L'Iran,1,1
2026-06-27,Nouvelle-Zélande,Belgique,1,5
2026-06-27,Panama,Angleterre,0,2
2026-06-27,Croatie,Ghana,2,1
2026-06-28,Colombie,Portugal,0,0
2026-06-28,République démocratique du Congo,Ouzbékistan,3,1
2026-06-28,Algérie,Autriche,3,3
2026-06-28,Jordanie,Argentine,1,3
2026-06-28,Afrique du Sud,Canada,0,1
2026-06-29,Brésil,Japon,2,1
2026-06-29,Allemagne,Paraguay,4,5
2026-06-30,Pays-Bas,Maroc,3,4
2026-06-30,Côte d'Ivoire,Norvège,1,2
2026-06-30,France,Suède,3,0
2026-07-01,Mexique,Équateur,2,0
