equipe,attack_strength,defense_weakness,matches_played
Mexico,1.104,0.724,204
South Africa,1.03,0.634,150
South Korea,1.203,0.698,166
Czechia,1.0,1.0,0
Canada,1.346,0.724,123
Bosnia and Herzegovina,1.008,1.045,118
Qatar,1.222,0.847,183
Switzerland,1.323,0.829,142
Brazil,1.384,0.539,150
Morocco,1.253,0.394,153
Haiti,1.441,0.999,96
Scotland,1.103,0.966,119
United States,1.328,0.75,185
Paraguay,0.682,1.006,119
Australia,1.312,0.732,128
Turkey,1.214,0.883,137
Germany,1.672,0.757,154
Curacao,1.0,1.0,0
Ivory Coast,1.163,0.647,142
Ecuador,0.946,0.842,130
Netherlands,1.592,0.737,143
Japan,1.586,0.695,161
Ukraine,1.025,0.822,127
Tunisia,1.06,0.609,155
Belgium,1.71,0.583,148
Egypt,1.043,0.514,141
Iran,1.387,0.566,135
New Zealand,1.276,0.724,79
Spain,1.714,0.605,148
Cape Verde,0.855,0.695,100
Saudi Arabia,1.023,0.815,170
Uruguay,1.007,0.652,138
France,1.548,0.609,159
Senegal,1.219,0.465,151
Iraq,0.981,0.743,160
Norway,1.298,0.821,121
Argentina,1.347,0.526,155
Algeria,1.546,0.651,153
Austria,1.272,0.747,127
Jordan,1.172,0.704,166
Portugal,1.568,0.633,155
DR Congo,0.996,0.696,130
Uzbekistan,1.15,0.617,133
Colombia,1.084,0.605,143
England,1.567,0.519,153
Croatia,1.289,0.786,147
Ghana,1.027,0.754,128
Panama,1.028,1.067,164
